thesis_figure,thesis_page,caption,section,file,bytes
4.26,125,Types of bounding volumes. a) The radius search (Bounding Spheres (BS)). b) Axis-Aligned Bound-,Contact_Search,thesis_fig_4_26.png,139020
4.27a,126,Poor search results obtained with the Bounding Sphere approach,Contact_Search,thesis_fig_4_27a.png,35785
4.29,127,OBB from surfaces build comparison,Contact_Search,thesis_fig_4_29.png,131238
4.30,127,Separating axis theorem,Contact_Search,thesis_fig_4_30.png,44580
4.32,128,Space subdivision approaches,Contact_Search,thesis_fig_4_32.png,54701
4.33,129,Tree structures,Contact_Search,thesis_fig_4_33.png,79674
4.34,130,Consistent gap example. Circular surface vs plane,Contact_Search,thesis_fig_4_34.png,243481
4.35,131,Consistent gap example. Double curvature surfaces,Contact_Search,thesis_fig_4_35.png,556670
4.36,131,Self-contact normals descrimination,Contact_Search,thesis_fig_4_36.png,31189
4.37,133,"Self-contact detection simplest case, two parallel planes",Contact_Search,thesis_fig_4_37.png,87922
4.38,134,Self-contact detection for simple tubular case,Contact_Search,thesis_fig_4_38.png,188581
4.39,134,Self-contact detection for tubular case,Contact_Search,thesis_fig_4_39.png,198259
4.40,135,S-shape profile mesh (tetrahedra),Contact_Search,thesis_fig_4_40.png,353333
4.41,135,S-shape profile resulting self-contact simulation,Contact_Search,thesis_fig_4_41.png,396609
5.11,205,Gears example mesh,Examples,thesis_fig_5_11.png,246931
5.12,205,"Detail solution for the displacement, VM stress and plastic dissipation",Examples,thesis_fig_5_12.png,186379
5.13,206,Overall solution for the displacement and the VM stress,Examples,thesis_fig_5_13.png,571752
6.1,211,Adaptive mesh techniques applied on a contact patch test,Examples,thesis_fig_6_1.png,339686
6.19,233,Hertz geometry considered. Example here,Examples,thesis_fig_6_19.png,262600
6.22,235,Punch test geometry considered. Solution t = 0.5s. Example here,Examples,thesis_fig_6_22.png,95102
6.23,236,Punch test solution for VM stress and contact stress Hessian at t = 1.0s,Examples,thesis_fig_6_23.png,295831
6.27,237,SPR contact interface example for linear triangles. Inspired[ArtWS98; BookZZT13],Examples,thesis_fig_6_27.png,46329
6.30,239,Error solution,Examples,thesis_fig_6_30.png,371616
6.32,240,Workflow for Level set/Hessian metric remesh,Examples,thesis_fig_6_32.png,174480
6.33,241,Workflow for SPR metric remesh,Examples,thesis_fig_6_33.png,168751
6.38,243,Hertz solution step 1,Examples,thesis_fig_6_38.png,248573
6.41,244,Hertz solution step 10,Examples,thesis_fig_6_41.png,363702
6.46,246,Initial mesh in contacting cylinders,Examples,thesis_fig_6_46.png,271256
6.47,246,Contacting cylinders solution at t = 0.35s,Examples,thesis_fig_6_47.png,180576
6.53,248,Contacting cylinders solution at t = 1.4s,Examples,thesis_fig_6_53.png,170367
6.54,248,Contacting cylinders perspective solution at t = 1.4s,Examples,thesis_fig_6_54.png,390272
